OBJECTID,GEOID10,CTBG10,CT10,AreaSqMil,LABEL,FIP10,FIP10RV,CDP_NAME,CITYNAME,COMMNAME,ShapeSTAre,ShapeSTLen,to_int_GEO,GEOID_int,to_int_g_1,geo_id_str,nat_prop,DECENNIALS,DECENNIA_1,DECENNIA_2,DECENNIA_3,DECENNIA_4,Hub distan,Hub dist_1,Hub dist_2,Hub dist_3,Hub dist_4,Hub dist_5,Hub dist_6,Hub dist_7,Hub dist_8,Hub dist_9,Hub dist10,Hub dist11,Hub dist12,Hub dist13,Hub dist14,Hub dist15,Hub dist16,Hub dist17,Hub dist18,Hub dist19,Hub dist20,Hub dist21,Hub dist22,NUMEXITS,PB
"5184","060375323022","5323022","532302",0.827400000000000,BG 2,"14974","14974",Commerce,Commerce,City of Commerce,23066520.043945312500000,28740.476192451715178,,,"60375323022","60375323022",338.396,"Block Group 2, Census Tract 5323.02, Los Angeles County, California","1074","349","725",,"5184","5323022","532302",0.827400000000000,BG 2,"14974","14974",Commerce,Commerce,City of Commerce,23066520.043945312500000,28740.476192451715178,,,"60375323022","60375323022","Block Group 2, Census Tract 5323.02, Los Angeles County, California","1074","349","725",,I- 710,0.315080027499595,28.000000000000000,1000.865
"2499","060375313021","5313021","531302",0.048100000000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1340533.050781250000000,4802.429176062883926,,,"60375313021","60375313021",114.725,"Block Group 1, Census Tract 5313.02, Los Angeles County, California","890","315","575",,"2499","5313021","531302",0.048100000000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1340533.050781250000000,4802.429176062883926,,,"60375313021","60375313021","Block Group 1, Census Tract 5313.02, Los Angeles County, California","890","315","575",,I- 5,0.128904842847808,10.000000000000000,895.989
"2500","060375315021","5315021","531502",0.054800000000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1527478.065429687500000,5184.761484956819913,,,"60375315021","60375315021",135.584,"Block Group 1, Census Tract 5315.02, Los Angeles County, California","884","303","581",,"2500","5315021","531502",0.054800000000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1527478.065429687500000,5184.761484956819913,,,"60375315021","60375315021","Block Group 1, Census Tract 5315.02, Los Angeles County, California","884","303","581",,I- 5,0.153376088146607,20.000000000000000,884.000
"2505","060375319011","5319011","531901",0.070300000000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1960207.404296875000000,10120.289085969414373,,,"60375319011","60375319011",2051.017,"Block Group 1, Census Tract 5319.01, Los Angeles County, California","1534","552","982",,"2505","5319011","531901",0.070300000000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1960207.404296875000000,10120.289085969414373,,,"60375319011","60375319011","Block Group 1, Census Tract 5319.01, Los Angeles County, California","1534","552","982",,Santa Ana Fwy,1.337038233362692,24.000000000000000,1534.000
"3117","060375319014","5319014","531901",0.061900000000000,BG 4,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1724290.342773437500000,7167.554638102450554,,,"60375319014","60375319014",1246.968,"Block Group 4, Census Tract 5319.01, Los Angeles County, California","1060","317","743",,"3117","5319014","531901",0.061900000000000,BG 4,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1724290.342773437500000,7167.554638102450554,,,"60375319014","60375319014","Block Group 4, Census Tract 5319.01, Los Angeles County, California","1060","317","743",,Santa Ana Fwy,1.176385027524785,20.000000000000000,1060.000
"3340","060375319023","5319023","531902",0.061300000000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1707946.650390625000000,7592.185794714965596,,,"60375319023","60375319023",906.979,"Block Group 3, Census Tract 5319.02, Los Angeles County, California","871","251","620",,"3340","5319023","531902",0.061300000000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1707946.650390625000000,7592.185794714965596,,,"60375319023","60375319023","Block Group 3, Census Tract 5319.02, Los Angeles County, California","871","251","620",,State Rte 72,1.041308191157625,22.000000000000000,871.000
"3872","060375317022","5317022","531702",0.052500000000000,BG 2,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1464569.376953125000000,5707.232010530523439,,,"60375317022","60375317022",240.334,"Block Group 2, Census Tract 5317.02, Los Angeles County, California","674","238","436",,"3872","5317022","531702",0.052500000000000,BG 2,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1464569.376953125000000,5707.232010530523439,,,"60375317022","60375317022","Block Group 2, Census Tract 5317.02, Los Angeles County, California","674","238","436",,I- 5,0.356578349766107,26.000000000000000,674.000
"3875","060375317021","5317021","531702",0.053600000000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1495616.929687500000000,5033.757853790491026,,,"60375317021","60375317021",605.975,"Block Group 1, Census Tract 5317.02, Los Angeles County, California","688","213","475",,"3875","5317021","531702",0.053600000000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1495616.929687500000000,5033.757853790491026,,,"60375317021","60375317021","Block Group 1, Census Tract 5317.02, Los Angeles County, California","688","213","475",,I- 5,0.880777995874836,16.000000000000000,704.773
"4048","060375317023","5317023","531702",0.082700000000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,2305141.244140625000000,7246.325804267984495,,,"60375317023","60375317023",347.090,"Block Group 3, Census Tract 5317.02, Los Angeles County, California","1598","551","1047",,"4048","5317023","531702",0.082700000000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,2305141.244140625000000,7246.325804267984495,,,"60375317023","60375317023","Block Group 3, Census Tract 5317.02, Los Angeles County, California","1598","551","1047",,Santa Ana Fwy,0.217203065058184,17.000000000000000,1635.149
"4060","060375313011","5313011","531301",0.140700000000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,3923442.980468750000000,8428.270471176792853,,,"60375313011","60375313011",273.120,"Block Group 1, Census Tract 5313.01, Los Angeles County, California","1345","490","855",,"4060","5313011","531301",0.140700000000000,BG 1,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,3923442.980468750000000,8428.270471176792853,,,"60375313011","60375313011","Block Group 1, Census Tract 5313.01, Los Angeles County, California","1345","490","855",,Santa Ana Fwy,0.203063292979428,20.000000000000000,1376.507
"4064","060375313023","5313023","531302",0.105300000000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,2935104.941406250000000,6848.303876739240877,,,"60375313023","60375313023",963.785,"Block Group 3, Census Tract 5313.02, Los Angeles County, California","2109","782","1327",,"4064","5313023","531302",0.105300000000000,BG 3,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,2935104.941406250000000,6848.303876739240877,,,"60375313023","60375313023","Block Group 3, Census Tract 5313.02, Los Angeles County, California","2109","782","1327",,Santa Ana Fwy,0.456986881133742,11.000000000000000,2078.204
"4691","060375316022","5316022","531602",0.048100000000000,BG 2,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1341613.171875000000000,4700.987217863540536,,,"60375316022","60375316022",202.155,"Block Group 2, Census Tract 5316.02, Los Angeles County, California","994","338","656",,"4691","5316022","531602",0.048100000000000,BG 2,"20802","99037",East Los Angeles,Unincorporated,LA County - East Los Angeles,1341613.171875000000000,4700.987217863540536,,,"60375316022","60375316022","Block Group 2, Census Tract 5316.02, Los Angeles County, California","994","338","656",,I- 5,0.203374890223436,6.000000000000000,968.815
